CAD$,,,,,,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Below The Line,Below The Line,Below The Line,Below The Line,Below The Line,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Equity,Equity,Equity,,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-3403.77,"13,374.54",,,,,,,,,,,,,,,,,,,3403.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-2838.45,"10,536.09",,,,,,,,,,,,,,,,,,,2838.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-2089.71,"8,446.38",,,,,,,,,,,,,,,,,,,2089.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-2089.18,"6,357.20",,,,,,,,,,,,,,,,,,,2089.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1963.46,"4,393.74",,,,,,,,,,,,,,,,,,,1963.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1963.46,"2,430.28",,,,,,,,,,,,,,,,,,,1963.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1895.8,534.48,,,,,,,,,,,,,,,,,,,1895.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1837.22,"-1,302.74",,,,,,,,,,,,,,,,,,,1837.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1792.51,"-3,095.25",,,,,,,,,,,,,,,,,,,1792.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1792.51,"-4,887.76",,,,,,,,,,,,,,,,,,,1792.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1703.23,"-6,590.99",,,,,,,,,,,,,,,,,,,1703.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1677.83,"-8,268.82",,,,,,,,,,,,,,,,,,,1677.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1498.3,"-9,767.12",,,,,,,,,,,,,,,,,,,1498.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1468.28,"-11,235.40",,,,,,,,,,,,,,,,,,,1468.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1442.84,"-12,678.24",,,,,,,,,,,,,,,,,,,1442.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1282.03,"-13,960.27",,,,,,,,,,,,,,,,,,,1282.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-1259.88,"-15,220.15",,,,,,,,,,,,,,,,,,,1259.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-977.66,"-16,197.81",,,,,,,,,,,,,,,,,,,977.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Payroll Deposit,INTUIT 07704456,-292.63,"-16,490.44",,,,,,,,,,,,,,,,,,,292.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,Misc Payment,SPLITIT,-9.08,"-16,499.52",,,,,,,,,,,,,,,,,,,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,MC DEP 12233920,,2338.09,"-14,161.43",,-2338.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,MC FEE 12233920,,-47.38,"-14,208.81",,,,,,,,,,,,,,,,,,,47.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,VSA DEP12233920,,1532.67,"-12,676.14",,-1532.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,VSA DEP12374336,,255.08,"-12,421.06",,-255.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-19,VSA FEE12233920,,-29.46,"-12,450.52",,,,,,,,,,,,,,,,,,,29.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-20,Credit memo,FT916178487,13844,"1,393.48",,,,,,,,,,,,,,,,,,,,,,,,,,-13844,,,,,,,,,,,,,,,,,,,,,,0,,TRF-007,CAN 1015 USD$,Y,10064.588,,,,,,,,,,,5
2025-08-20,Direct Deposits (PDS) service total,GRADS8318600000,-525,868.48,,,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-20,Misc Payment,HSA CAD CAN,-110.63,757.85,,,,,,,,,,,,,,,,,,,110.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-20,LOAN CREDIT,,15000,"15,757.85",,,,,,,,,,,,,,,,,,,,,,,,,,-15000,,,,,,,,,,,,,,,,,,,,,,0,,TRF-008,CAN 1050 CAD$,N,,,,,,,,,,,,6
2025-08-20,MC DEP 12233920,,2070.96,"17,828.81",,-2070.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-20,MC FEE 12233920,,-42.02,"17,786.79",,,,,,,,,,,,,,,,,,,42.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-20,VSA DEP12233920,,75.45,"17,862.24",,-75.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-20,VSA FEE12233920,,-1.51,"17,860.73",,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-21,Other loan,Loan interest,-6.79,"17,853.94",,,,,,,,,,,,,,,,,,,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-21,LOAN PAYMENT,,-15000,"2,853.94",,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,0,,TRF-009,CAN 1050 CAD$,N,,,,,,,,,,,,7
2025-08-21,MC DEP 12233920,,145.43,"2,999.37",,-145.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-21,MC DEP 12374336,,85.68,"3,085.05",,-85.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-21,MC FEE 12233920,,-3.14,"3,081.91",,,,,,,,,,,,,,,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-21,VSA DEP12233920,,2536.56,"5,618.47",,-2536.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-21,VSA DEP12374336,,35.28,"5,653.75",,-35.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-21,VSA FEE12233920,,-54.38,"5,599.37",,,,,,,,,,,,,,,,,,,54.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-22,EF0822 12374336,,130.99,"5,730.36",,-130.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-22,MC DEP 12233920,,2627.43,"8,357.79",,-2627.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-22,MC DEP 12374336,,2995.98,"11,353.77",,-2995.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-22,MC FEE 12233920,,-60.71,"11,293.06",,,,,,,,,,,,,,,,,,,60.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-22,VSA DEP12233920,,2637.41,"13,930.47",,-2637.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-22,VSA FEE12233920,,-50.45,"13,880.02",,,,,,,,,,,,,,,,,,,50.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,Misc Payment,PAYPAL,1219.41,"15,099.43",,-1219.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,Business PAD,SPECIALIZED,-3628.8,"11,470.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3628.8,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,EF0825 12374336,,39.18,"11,509.81",,-39.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,MC DEP 12233920,,-65.9,"11,443.91",,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,MC DEP 12374336,,61.58,"11,505.49",,-61.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,MC FEE 12233920,,-0.05,"11,505.44",,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,MC FEE 12233920,,0.45,"11,505.89",,,,,,,,,,,,,,,,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,VSA DEP12233920,,2487.8,"13,993.69",,-2487.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,VSA DEP12233920,,188.26,"14,181.95",,-188.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,VSA DEP12233920,,77.5,"14,259.45",,-77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,VSA FEE12233920,,-53.94,"14,205.51",,,,,,,,,,,,,,,,,,,53.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,VSA FEE12233920,,-2.88,"14,202.63",,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-25,VSA FEE12233920,,-2.11,"14,200.52",,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-26,EF0826 12374336,,33.59,"14,234.11",,-33.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-26,MON FEE12233920,,-58.31,"14,175.80",,,,,,,,,,,,,,,,,,,58.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-26,VSA DEP12233920,,6024.85,"20,200.65",,-6024.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-26,VSA DEP12374336,,62.83,"20,263.48",,-62.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-26,VSA FEE12233920,,-141.24,"20,122.24",,,,,,,,,,,,,,,,,,,141.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-27,VSA DEP12233920,,209.31,"20,331.55",,-209.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-27,VSA FEE12233920,,-4.08,"20,327.47",,,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-28,Business PAD,Clearbridge Bus,-3641.67,"16,685.80",,,,,,,,,,,,,,,,,,,3641.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-28,AMX DEP12233920,,14.33,"16,700.13",,-14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-28,MC DEP 12374336,,316.04,"17,016.17",,-316.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-28,VSA DEP12233920,,53.76,"17,069.93",,-53.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-28,VSA DEP12374336,,175.79,"17,245.72",,-175.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-28,VSA FEE12233920,,-0.93,"17,244.79",,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-29,Business PAD,Clearbridge Bus,-3641.67,"13,603.12",,,,,,,,,,,,,,,,,,,3641.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-29,AMX DEP12233920,,18.95,"13,622.07",,-18.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-29,EF0829 12374336,,114.14,"13,736.21",,-114.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-29,MC DEP 12374336,,478.96,"14,215.17",,-478.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-29,MC FEE 12233920,,-0.06,"14,215.11",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-29,VSA DEP12233920,,1951,"16,166.11",,-1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-29,VSA DEP12374336,,1974.75,"18,140.86",,-1974.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-29,VSA FEE12233920,,-38,"18,102.86",,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,Insurance Loan,FIRST INSURANCE,-4401.12,"13,701.74",,,,,,,,,,,,,,,,,,,4401.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,Misc Payment,HSA CAD CAN,-275.7,"13,426.04",,,,,,,,,,,,,,,,,,,275.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,Business PAD,KATIE THIESSEN,-1988.64,"11,437.40",,,,,,,,,,,,,,,,,,,1988.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,Misc Payment,PAYPAL,145.9,"11,583.30",,-145.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,AMX DEP12233920,,1490.61,"13,073.91",,-1490.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,AMX FEE12233920,,-30.96,"13,042.95",,,,,,,,,,,,,,,,,,,30.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,EF0902 12374336,,56.11,"13,099.06",,-56.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,INT FEE12374336,,-1.4,"13,097.66",,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,MC DEP 12233920,,98.5,"13,196.16",,-98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,MC FEE 12233920,,-14.02,"13,182.14",,,,,,,,,,,,,,,,,,,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,MC FEE 12233920,,-2.26,"13,179.88",,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,MC FEE 12233920,,-0.06,"13,179.82",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,MC FEE 12374336,,-62.51,"13,117.31",,,,,,,,,,,,,,,,,,,62.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,MON FEE12233920,,-27.3,"13,090.01",,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,MON FEE12344503,,-27.3,"13,062.71",,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,MON FEE12374336,,-45.5,"13,017.21",,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,VSA DEP12233920,,5045.22,"18,062.43",,-5045.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,VSA DEP12233920,,631.18,"18,693.61",,-631.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,VSA FEE12233920,,-94.53,"18,599.08",,,,,,,,,,,,,,,,,,,94.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,VSA FEE12233920,,-12.37,"18,586.71",,,,,,,,,,,,,,,,,,,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,VSA FEE12233920,,-0.24,"18,586.47",,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,VSA FEE12233920,,-0.24,"18,586.23",,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-02,VSA FEE12374336,,-59.65,"18,526.58",,,,,,,,,,,,,,,,,,,59.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Federal Payment,CANADA,-6136.49,"12,390.09",,,,,,,,,,,,,,,,,,,6136.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Business PAD,Clearbridge Bus,-884.8,"11,505.29",,,,,,,,,,,,,,,,,,,884.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-3382.83,"8,122.46",,,,,,,,,,,,,,,,,,,3382.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-2721.63,"5,400.83",,,,,,,,,,,,,,,,,,,2721.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-2675.77,"2,725.06",,,,,,,,,,,,,,,,,,,2675.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-2089.71,635.35,,,,,,,,,,,,,,,,,,,2089.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-2089.18,"-1,453.83",,,,,,,,,,,,,,,,,,,2089.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1963.46,"-3,417.29",,,,,,,,,,,,,,,,,,,1963.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1963.46,"-5,380.75",,,,,,,,,,,,,,,,,,,1963.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1867.86,"-7,248.61",,,,,,,,,,,,,,,,,,,1867.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1792.51,"-9,041.12",,,,,,,,,,,,,,,,,,,1792.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1792.51,"-10,833.63",,,,,,,,,,,,,,,,,,,1792.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1703.23,"-12,536.86",,,,,,,,,,,,,,,,,,,1703.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1677.83,"-14,214.69",,,,,,,,,,,,,,,,,,,1677.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1502.67,"-15,717.36",,,,,,,,,,,,,,,,,,,1502.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1442.84,"-17,160.20",,,,,,,,,,,,,,,,,,,1442.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1396.63,"-18,556.83",,,,,,,,,,,,,,,,,,,1396.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1370.44,"-19,927.27",,,,,,,,,,,,,,,,,,,1370.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1343.73,"-21,271.00",,,,,,,,,,,,,,,,,,,1343.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-1113.63,"-22,384.63",,,,,,,,,,,,,,,,,,,1113.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Payroll Deposit,INTUIT 07878397,-830.65,"-23,215.28",,,,,,,,,,,,,,,,,,,830.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,e-Transfer sent,Remy's e-transfer,-9121.88,"-32,337.16",,,,,,,,,,,,,,,,,,,9121.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,EF0903 12374336,,53.76,"-32,283.40",,-53.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,MC DEP 12233920,,400.01,"-31,883.39",,-400.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,MC FEE 12233920,,-7.42,"-31,890.81",,,,,,,,,,,,,,,,,,,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,Monthly fee,,-6,"-31,896.81",,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,VSA DEP12233920,,3941.51,"-27,955.30",,-3941.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,VSA DEP12374336,,30.44,"-27,924.86",,-30.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-09-03,VSA FEE12233920,,-85.08,"-28,009.94",,,,,,,,,,,,,,,,,,,85.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
